rgi_id,n_years,SemiImplicit,FluxBased,SIA1D
RGI60-11.03638,50,0.07565701199928299,0.054293066503305454,0.7708830774990929
RGI60-11.03638,100,0.18486648249927384,0.2681790344995534,0.2442574099986814
RGI60-11.03638,150,0.2317316339995159,0.33625210450009035,0.21237954050047847
RGI60-11.03638,200,0.2861233870007709,0.44784554349826067,0.3110757714985084
RGI60-11.03638,250,0.36051083849997667,0.5561929759987834,0.37330104999819014
RGI60-11.03638,280,0.40056060349888867,0.6026668354988942,0.5657487709995621
RGI60-11.03671,50,0.07280397899921809,0.07402012750026188,0.2174718939986633
RGI60-11.03671,100,0.13719227699948533,0.186803239501387,0.10881346099813527
RGI60-11.03671,150,0.20305495000138762,0.24573104000046442,0.15767548899930262
RGI60-11.03671,200,0.2635205050009972,0.33610104599938495,0.20868276599867386
RGI60-11.03671,250,0.3349498464995122,0.4619411309977295,0.2569582214982802
RGI60-11.03671,280,0.39514888350095134,0.5196041315011826,0.4012876255019364
RGI60-11.03643,50,0.06887090599957446,0.07766687400180672,0.24157505000039237
RGI60-11.03643,100,0.1590012270007719,0.35677894550099154,0.15431014800014964
RGI60-11.03643,150,0.30568367849991773,0.5081395569995948,0.18658674550169962
RGI60-11.03643,200,0.31689487649964576,0.7027431290007371,0.2921803059998638
RGI60-11.03643,250,0.41717647850055073,1.0929362074984965,0.4259856900007435
RGI60-11.03643,280,0.4472288725010003,1.3390682395001932,0.5820992619992467
RGI60-11.03674,50,0.07383641999877,0.08464615050070279,0.2556042965006782
RGI60-11.03674,100,0.15918649150080455,0.19896685650019208,0.12003515549986332
RGI60-11.03674,150,0.356761977500355,0.2933344914999907,0.2167962035000528
RGI60-11.03674,200,0.3350620995006466,0.3294931025011465,0.22148981200007256
RGI60-11.03674,250,0.4542291834986827,0.46949209599915775,0.2666603444995417
RGI60-11.03674,280,0.4340647059998446,0.5538489600003231,0.42359922849936993
RGI60-11.03756,50,0.071042623001631,0.05399500799831003,0.22451070050010458
RGI60-11.03756,100,0.14496526149923739,0.13051069600078335,0.11104711900043185
RGI60-11.03756,150,0.2838903449992358,0.2110695270002907,0.17908811000052083
RGI60-11.03756,200,0.2706289760008076,0.30592887999955565,0.1954313304995594
RGI60-11.03756,250,0.33706716150118154,0.4017526160005218,0.26121502950081776
RGI60-11.03756,280,0.3762962519995199,0.455488242499996,0.39557140600118146
RGI60-16.00543,50,0.07831527900088986,0.06453514549866668,0.23098631900029432
RGI60-16.00543,100,0.23415907949856773,0.2355617204993905,0.14428488099838432
RGI60-16.00543,150,0.22136374049841834,0.39911796799970034,0.2030285754990473
RGI60-16.00543,200,0.2976299790007033,0.549212844000067,0.2587561990003451
RGI60-16.00543,250,0.367501328999424,0.7201765979989432,0.3201175769991096
RGI60-16.00543,280,0.40105838400086213,0.8341420269989612,0.33826794249944214
RGI60-16.01339,50,0.1551867405014491,0.06371205300092697,0.36710852600117505
RGI60-16.01339,100,0.1710918419976224,0.36418028399930336,0.1577714159993775
RGI60-16.01339,150,0.21064619600292644,0.5854101494987844,0.23398671100039792
RGI60-16.01339,200,0.2661179830010951,0.8919611824985623,0.26910650250101753
RGI60-16.01339,250,0.35974209300184157,1.1315122155010613,0.3569472935014346
RGI60-16.01339,280,0.3921724065021408,1.2800670560009166,0.3294477889994596
RGI60-11.03232,50,0.06613990850200935,0.05754605900256138,0.22499130150208657
RGI60-11.03232,100,0.12578932799988252,0.13046039949949773,0.10581511850068637
RGI60-11.03232,150,0.18822622400148248,0.22468126099920482,0.2844727945011982
RGI60-11.03232,200,0.2626089064997359,0.39298085950031236,0.20948010399843042
RGI60-11.03232,250,0.33132575749914395,0.4197025744997518,0.27381140449870145
RGI60-11.03232,280,0.3691199110016896,0.4638093560006382,0.31147750049967726
RGI60-15.03591,50,0.08136870399721374,0.05740401150069374,0.22450122150075913
RGI60-15.03591,100,0.18089363549916015,0.2914260755005671,0.11893615749977471
RGI60-15.03591,150,0.2503664045016194,0.42107738999948197,0.24935617499977525
RGI60-15.03591,200,0.2847101985007612,0.5466561869980069,0.3307244299994636
RGI60-15.03591,250,0.3485556390005513,0.7102608419991157,0.2770972639991669
RGI60-15.03591,280,0.38998814599835896,0.8074262784994062,0.3038250249992416
RGI60-11.03646,50,0.06488774900026328,0.07429654199950164,0.22682602450004197
RGI60-11.03646,100,0.1396149169995624,0.6373617839999497,0.13627427350002108
RGI60-11.03646,150,0.20820854350131413,1.125088381500973,0.20411354700081574
RGI60-11.03646,200,0.27567378449748503,1.9739984385014395,0.5141864705001353
RGI60-11.03646,250,0.3719992824990186,2.7486656054989,0.4495516899987706
RGI60-11.03646,280,0.4996873720010626,3.050607274999493,0.5164169979998405
RGI60-14.07524,50,0.06164587249986653,0.055096528998547,0.21968386599837686
RGI60-14.07524,100,0.2836016080000263,0.568390967000596,0.2894420539996645
RGI60-14.07524,150,0.3457171569989441,0.8311375775010674,0.26697657899967453
RGI60-14.07524,200,0.46845559749999666,0.9834267450005427,0.40974386850029987
RGI60-14.07524,250,0.5686977035020391,0.9395776030014531,0.4889284585005953
RGI60-14.07524,280,0.5488495144982153,0.9730281225001818,0.4943873539996275
RGI60-01.05355,50,0.0734401314985007,0.06086953000158246,0.23841924499902234
RGI60-01.05355,100,0.1599225904992636,0.14778562749961566,0.1401244789994962
RGI60-01.05355,150,0.2408469630008767,0.2334112914995785,0.21339404600075795
RGI60-01.05355,200,0.31122439700084215,0.33264953199977754,0.37253559999771824
RGI60-01.05355,250,0.35100297500139277,0.473962053498326,0.40578416000062134
