rgi_id,n_years,SemiImplicit,FluxBased,SIA1D
RGI60-11.03638,50,0.21438385900000867,0.25883246250123193,0.15298631699988618
RGI60-11.03638,100,0.311725462499453,0.30699402899881534,0.2421519220006303
RGI60-11.03638,150,0.34224607400028617,0.4136578854995605,0.4950277499992808
RGI60-11.03638,200,0.42859119400054624,0.5463087714979338,0.4367335515016748
RGI60-11.03638,250,0.5183707684991532,0.6705744344999403,0.4227791450011864
RGI60-11.03638,280,0.5840310479998152,0.8022918139995454,0.5873305499990238
RGI60-11.03671,50,0.24931143399953726,0.1914693589988019,0.22115805000066757
RGI60-11.03671,100,0.359619754999585,0.29994962550154014,0.30320715000198106
RGI60-11.03671,150,0.35785029500038945,0.5335768115000974,0.3318724814998859
RGI60-11.03671,200,0.48657965150050586,0.6016686680013663,0.37832379800056515
RGI60-11.03671,250,0.5535307615009515,0.8240249290010979,0.6155805919988779
RGI60-11.03671,280,0.5933365834989672,0.7915015689995926,0.48030556950106984
RGI60-11.03643,50,0.28912374900028226,0.30248308849877503,0.16217615549976472
RGI60-11.03643,100,0.2792233385007421,0.4331588860022748,0.2829003869992448
RGI60-11.03643,150,0.3542417185017257,0.725256473000627,0.3574773369982722
RGI60-11.03643,200,0.45301656700030435,1.220635683999717,0.5099975124994671
RGI60-11.03643,250,0.5686888025011285,1.6199700409997604,0.5443263414999819
RGI60-11.03643,280,0.7598579509995034,1.9682352259987965,0.6730840934997104
RGI60-11.03674,50,0.19743338149964984,0.21285587649981608,0.16733601550185995
RGI60-11.03674,100,0.3283355180010403,0.4127018150029471,0.24808565599960275
RGI60-11.03674,150,0.4592134114991495,0.4367851819988573,0.3344596235019708
RGI60-11.03674,200,0.4803568874995108,0.5481024065011297,0.3942281340005138
RGI60-11.03674,250,0.5481453709999187,0.6065143489995535,0.4509980290004023
RGI60-11.03674,280,0.5950756500005809,0.6660630605019833,0.6561805055007426
RGI60-11.03756,50,0.18349539499831735,0.19732369750272483,0.15492718900168256
RGI60-11.03756,100,0.2653276344990445,0.2837169984995853,0.21030629099914222
RGI60-11.03756,150,0.31835776749903744,0.3644749110007979,0.30132892499932495
RGI60-11.03756,200,0.40645700650020444,0.4663591174994508,0.4561934334997204
RGI60-11.03756,250,0.48887281349925615,0.5611840695000865,0.5633635585018055
RGI60-11.03756,280,0.5338283349992707,0.6218692265010759,0.47377890949974244
RGI60-16.00543,50,0.2276209994997771,0.2958115745004761,0.1562370479987294
RGI60-16.00543,100,0.2898095114996977,0.4393781664984999,0.3243169340003078
RGI60-16.00543,150,0.37333795099948475,0.6273650249986531,0.28935706399897754
RGI60-16.00543,200,0.44696833099988,0.7855735425000603,0.49253208200025256
RGI60-16.00543,250,0.5346800215011172,0.965005067500897,0.4360670534988458
RGI60-16.00543,280,0.5824307805014541,1.0870114040008048,0.48821046549892344
RGI60-16.01339,50,0.18299269849921984,0.30553146800048125,0.149308687001394
RGI60-16.01339,100,0.2651094294997165,0.5271019965002779,0.30277205650054384
RGI60-16.01339,150,0.3889600029997382,0.7546800169984635,0.4055564560003404
RGI60-16.01339,200,0.48457956399943214,0.9663374095016479,0.3735086010001396
RGI60-16.01339,250,0.5302271634991484,1.1841136059993005,0.5061858869994467
RGI60-16.01339,280,0.5505009300013626,1.2965938014986023,0.5160836490013025
RGI60-11.03232,50,0.19730325849923247,0.22022159399966768,0.2698711914999876
RGI60-11.03232,100,0.2637511655011622,0.3160330284990778,0.30659920449943456
RGI60-11.03232,150,0.35525854249863187,0.3886079485000664,0.3308690725007182
RGI60-11.03232,200,0.42382966699915414,0.483536763000302,0.344151901499572
RGI60-11.03232,250,0.527728102499168,0.5919095484987338,0.40498919850142556
RGI60-11.03232,280,0.5698785634995147,0.6515296554989618,0.6053705990016169
RGI60-15.03591,50,0.1966318830000091,0.2866378924991295,0.25849570050013426
RGI60-15.03591,100,0.27782335249867174,0.4317698305021622,0.23085179699955916
RGI60-15.03591,150,0.3662251030000334,0.5799543675002496,0.2964297244998306
RGI60-15.03591,200,0.4989888415002497,0.7894583004999731,0.3518270555014169
RGI60-15.03591,250,0.5464606495006592,0.9440382749999117,0.4088385009999911
RGI60-15.03591,280,0.605646355999852,1.0361713854981645,0.5675404694993631
RGI60-11.03646,50,0.1926042575014435,0.6462819664993731,0.20550243750039954
RGI60-11.03646,100,0.2973991604994808,1.250247895000939,0.3094078484991769
RGI60-11.03646,150,0.37737012849902385,1.9668179180007428,0.40915401200254564
RGI60-11.03646,200,0.47030934450049244,2.6912046675006422,0.541292997499113
RGI60-11.03646,250,0.5535234179988038,3.5625576705006097,0.5398272834991076
RGI60-11.03646,280,0.6353869280010258,4.027824060500279,0.7298334975002945
RGI60-14.07524,50,0.3150037779996637,0.5365061934990081,0.28830531549829175
RGI60-14.07524,100,0.4021668805016816,0.7004188179980702,0.35845572799917136
RGI60-14.07524,150,0.5212064820007072,0.8205214924983011,0.47292057550112077
RGI60-14.07524,200,0.5736299990003317,0.970124814501105,0.6142449769995437
RGI60-14.07524,250,0.7424146409994137,1.257520911998654,0.6057654760006699
RGI60-14.07524,280,0.7168329665000783,1.251046014998792,0.825905927002168
RGI60-01.05355,50,0.22377149799831386,0.20307376599885174,0.22294971799965424
RGI60-01.05355,100,0.28555212750143255,0.30291561949889,0.3052810954995948
RGI60-01.05355,150,0.364419067000199,0.5172037499978615,0.30602651899971534
RGI60-01.05355,200,0.4425036219981848,0.5852655915005016,0.4415040349995252
RGI60-01.05355,250,0.5210412884989637,0.6174533634984982,0.5187529030008591
