rgi_id,n_years,SemiImplicit,FluxBased,SIA1D
RGI60-11.03638,25,0.12608306009988154,0.24746280330018636,0.10134745450013724
RGI60-11.03638,50,0.17133762520024903,0.31897944479969736,0.165057806799814
RGI60-11.03638,100,0.2511680230998536,0.4537730945998192,0.20774079490001895
RGI60-11.03638,150,0.3514989594999861,0.5858247762000246,0.3350000699003431
RGI60-11.03638,200,0.4237844844003121,0.7704847496999718,0.4342097159998957
RGI60-11.03638,300,0.6188834036000117,1.0375279031997706,0.5765071982001245
RGI60-11.03638,400,0.7925902112994663,1.3091620950006473,0.7770434191997992
RGI60-11.03638,500,0.9670766761999403,1.5364493992001371,0.9146154968000701
RGI60-11.03671,25,0.09233166479989449,0.1323703211000975,0.08486472040040098
RGI60-11.03671,50,0.1342940117996477,0.21813882230035234,0.11908701590000419
RGI60-11.03671,100,0.22055362049959512,0.36979445599954486,0.22923130390008736
RGI60-11.03671,150,0.306423143000211,0.5434004380997066,0.292366311799924
RGI60-11.03671,200,0.3921973332997368,0.7159699833000559,0.354131403700012
RGI60-11.03671,300,0.5620483489001344,1.0339633189996675,0.4946989243999269
RGI60-11.03671,400,0.7377847155001291,1.310488479599917,0.7056663800003662
RGI60-11.03671,500,0.9126737852004225,1.6454195936999896,0.8311698402001639
RGI60-11.03643,25,0.12751010590000078,0.3073134683994795,0.13265410519961734
RGI60-11.03643,50,0.19067166300028476,0.5366215837002528,0.20744311130001733
RGI60-11.03643,100,0.3400078995002332,0.9502791331999105,0.27621674450019784
RGI60-11.03643,150,0.4762821274001908,1.4356312683996293,0.3881889324004078
RGI60-11.03643,200,0.5842060962004325,1.9051530099000957,0.5402090287998362
RGI60-11.03643,300,0.8429909991000386,2.868896614500045,0.8066713480997351
RGI60-11.03643,400,1.0995937441000934,3.6772464696005045,1.0337391989000024
RGI60-11.03643,500,1.3622206059000745,4.505152130799615,1.29777758729997
RGI60-11.03674,25,0.11646787720037537,0.10177081810015806,0.08743656969963923
RGI60-11.03674,50,0.1536570260004737,0.14635428580004373,0.12699122180019912
RGI60-11.03674,100,0.26838992189968847,0.25144514510011506,0.21018431299999066
RGI60-11.03674,150,0.3272682708000502,0.35825281489978805,0.2884272450995923
RGI60-11.03674,200,0.42964486639993993,0.4589909673000875,0.3510100963001605
RGI60-11.03674,300,0.6211436042001879,0.7111605034999229,0.5814252489002684
RGI60-11.03674,400,0.8112703493001391,1.0237952282999685,0.7408265814001425
RGI60-11.03674,500,0.9819524331996945,1.0980230901999675,0.8949566827999661
RGI60-11.03756,25,0.10860937599991302,0.08956821679985297,0.0802785207000852
RGI60-11.03756,50,0.13011633189998975,0.13569349010031145,0.11684678959954908
RGI60-11.03756,100,0.196135304299969,0.22915473820012267,0.19536707479983306
RGI60-11.03756,150,0.33280792020013905,0.31895769859966094,0.22382629070016263
